label,sample
artist_name,KeumB
artist_name,Laykou
artist_name,Ulviyya Ali
artist_name,ShowMeGod
artist_name,Morning Delight
artist_name,в одной из квартир
artist_name,Nirvana
artist_name,Roy Malloy - Deep Senses
artist_name,Nuclear Power Trio
artist_name,REGI
artist_name,Twisted Sister
artist_name,dijei
artist_name,jdmaskell
artist_name,ṭһє ẇѧṭċһєяṡ
artist_name,MetallicaFan2816
artist_name,Laurent Billiau
artist_name,piratech_corexd
artist_name,KTP
artist_name,Lynyrd Skynyrd
artist_name,Relax Cafe Music BGM
artist_name,Moods
artist_name,DISRUPT
artist_name,Forsaken
artist_name,Acolytes of Sorath
artist_name,alkecovers
artist_name,Metal Blade Records
artist_name,pink floyd backing tracks
artist_name,relax music
artist_name,Krissie & the Kranks
artist_name,D1ON1
artist_name,dadivan
artist_name,TJCK
artist_name,Кишлак
artist_name,JoR
artist_name,BTS
artist_name,𝙇𝙊𝙐𝙉𝙂𝙀 𝙈𝙐𝙎𝙄𝘾
artist_name,GRiZ
artist_name,Guns N' Roses
artist_name,unauthorized thing
artist_name,reggaeville
artist_name,Mortified Mortician
artist_name,Chillhop Music
artist_name,jinsang
artist_name,Richard Hanyu
artist_name,The Geek x Vrv
artist_name,williamgoodofficial
artist_name,ARCH ENEMY
artist_name,adidasfootball
artist_name,The Condescendants
artist_name,ArchEnemy
artist_name,Lynda Hulion
artist_name,Age R
artist_name,XOLIDAYBOY
artist_name,Rob Zombie
artist_name,Weiss
artist_name,Nick Cave & The Bad Seeds
artist_name,GRASS
artist_name,Pretty Lights
artist_name,Piratech
artist_name,Rocking Chair
artist_name,Mohamed Rezq
artist_name,Clarity Parity
artist_name,Almantas Rastenis
artist_name,🏐Merna Mo7eb🦷
artist_name,♰ p0wder ♰ (@weloveyoupowder)
artist_name,09¡Nı××
artist_name,Havoc Osiris
artist_name,𝗕𝘃𝘅𝘆𝗚𝗿𝗜𝗜𝗺𝗲𝘀
artist_name,дед инсульт
artist_name,Asmaa Esam
artist_name,Lika
artist_name,Merlin Backus
artist_name,GOLD BULLETS
artist_name,The World
artist_name,Willow Jazz
artist_name,Nuclear Productions
artist_name,piratech
artist_name,nymano
artist_name,LEISURE
artist_name,KiTheory
song_name,Rob Zombie - Dragula 
